Date,Close,High,Low,Open,Volume
4/27/2023,160.1900024,160.4799957,152.3699951,152.6399994,127015200
4/28/2023,164.3099976,165,157.3200073,160.8999939,122515800
5/1/2023,161.8300018,163.2799988,158.8300018,163.1699982,109015000
5/2/2023,160.3099976,165.4900055,158.9299927,161.8800049,128259700
5/3/2023,160.6100006,165,159.9100037,160.0099945,119728000
5/4/2023,161.1999969,162.9499969,159.6499939,162.7100067,95108500
5/5/2023,170.0599976,170.7899933,163.5099945,163.9700012,107440900
5/8/2023,171.7899933,173.8000031,169.1900024,173.7200012,112249400
5/9/2023,169.1499939,169.8200073,166.5599976,168.9499969,88965000
5/10/2023,168.5399933,174.4299927,166.6799927,172.5500031,119840700
5/11/2023,172.0800018,173.5700073,166.7899933,168.6999969,103889900
5/12/2023,167.9799957,177.3800049,167.2299957,176.0700073,157577100
5/15/2023,166.3500061,169.7599945,164.5500031,167.6600037,105592500
5/16/2023,166.5200043,169.5200043,164.3500061,165.6499939,98288800
5/17/2023,173.8600006,174.5,167.1900024,168.4100037,125473600
5/18/2023,176.8899994,177.0599976,172.4499969,174.2200012,109520300
5/19/2023,180.1399994,181.9499969,176.3099976,177.1699982,136024200
5/22/2023,188.8699951,189.3200073,180.1100006,180.6999969,132001400
5/23/2023,185.7700043,192.9600067,185.2599945,186.1999969,156952100
5/24/2023,182.8999939,184.2200012,178.2200012,182.2299957,137605100
5/25/2023,184.4700012,186.7799988,180.5800018,186.5399933,96870700
5/26/2023,193.1699982,198.6000061,184.5299988,184.6199951,162061500
5/30/2023,201.1600037,204.4799957,197.5299988,200.1000061,128818700
5/31/2023,203.9299927,203.9499969,195.1199951,199.7799988,150711700
6/1/2023,207.5200043,209.8000031,199.3699951,202.5899963,148029900
6/2/2023,213.9700012,217.25,209.75,210.1499939,164129000
6/5/2023,217.6100006,221.2899933,214.5200043,217.8000031,151143100
6/6/2023,221.3099976,221.9100037,212.5299988,216.1399994,146911600
6/7/2023,224.5700073,230.8300018,223.1999969,228,185710800
6/8/2023,234.8600006,235.2299957,223.0099945,224.2200012,164489700
6/9/2023,244.3999939,252.4199982,242.0200043,249.0700073,199882300
6/12/2023,249.8300018,250.9700012,244.5899963,247.9400024,150337900
6/13/2023,258.7099915,259.6799927,251.3399963,253.5099945,162384300
6/14/2023,256.7900085,261.5700073,250.5,260.1700134,170575500
6/15/2023,255.8999939,258.9500122,247.2899933,248.3999939,160171200
6/16/2023,260.5400085,263.6000061,257.2099915,258.9200134,167563700
